run,pipes,stages,samples,max_copy,scheduler,buffer,sync,time
0,6,11,200000000,512,flow,circ,async,7.469587762
0,6,11,200000000,512,flow,circ,sync,7.080824716
0,6,11,200000000,512,smol1,circ,async,28.115157895
0,6,11,200000000,512,smol1,circ,sync,26.273105928
0,6,11,200000000,512,smoln,circ,async,12.465309261
0,6,11,200000000,512,smoln,circ,sync,12.223552322
0,6,1,200000000,512,flow,circ,async,2.004576191
0,6,1,200000000,512,flow,circ,sync,1.899252527
0,6,1,200000000,512,smol1,circ,async,6.468659399
0,6,1,200000000,512,smol1,circ,sync,6.312393806
0,6,1,200000000,512,smoln,circ,async,3.345590601
0,6,1,200000000,512,smoln,circ,sync,3.195737127
0,6,13,200000000,512,flow,circ,async,9.321965278
0,6,13,200000000,512,flow,circ,sync,8.504313095
0,6,13,200000000,512,smol1,circ,async,32.592227798
0,6,13,200000000,512,smol1,circ,sync,30.284635114
0,6,13,200000000,512,smoln,circ,async,14.361975343
0,6,13,200000000,512,smoln,circ,sync,13.824973072
0,6,15,200000000,512,flow,circ,async,10.10078069
0,6,15,200000000,512,flow,circ,sync,9.168059367
0,6,15,200000000,512,smol1,circ,async,37.226031151
0,6,15,200000000,512,smol1,circ,sync,34.40009753
0,6,15,200000000,512,smoln,circ,async,16.312542278
0,6,15,200000000,512,smoln,circ,sync,15.800203878
0,6,17,200000000,512,flow,circ,async,10.554477051
0,6,17,200000000,512,flow,circ,sync,10.641250048
0,6,17,200000000,512,smol1,circ,async,42.35433191
0,6,17,200000000,512,smol1,circ,sync,38.99271512
0,6,17,200000000,512,smoln,circ,async,17.959983196
0,6,17,200000000,512,smoln,circ,sync,17.496002653
0,6,19,200000000,512,flow,circ,async,12.842589901
0,6,19,200000000,512,flow,circ,sync,11.93487248
0,6,19,200000000,512,smol1,circ,async,46.67221878
0,6,19,200000000,512,smol1,circ,sync,43.605514067
0,6,19,200000000,512,smoln,circ,async,20.113632361
0,6,19,200000000,512,smoln,circ,sync,19.47801926
0,6,21,200000000,512,flow,circ,async,14.031911946
0,6,21,200000000,512,flow,circ,sync,12.898903845
0,6,21,200000000,512,smol1,circ,async,53.659365541
0,6,21,200000000,512,smol1,circ,sync,48.70753988
0,6,21,200000000,512,smoln,circ,async,22.027486487
0,6,21,200000000,512,smoln,circ,sync,21.216625181
0,6,23,200000000,512,flow,circ,async,15.585893731
0,6,23,200000000,512,flow,circ,sync,14.450172834
0,6,23,200000000,512,smol1,circ,async,57.686293468
0,6,23,200000000,512,smol1,circ,sync,52.965658142
0,6,23,200000000,512,smoln,circ,async,23.818131577
0,6,23,200000000,512,smoln,circ,sync,23.008048047
